Date,Junctions Cut,NORTHERN,CENTRAL,NEW ZEALAND,SOUTH AUSTRALIA,SOUTHERN,WESTERN
11/02/2011,32.16511111,2,22.16511111,0,0,6,2
12/02/2011,20.16511111,2,13.16511111,0,0,5,0
13/02/2011,0,0,0,0,0,0,0
14/02/2011,23,0,4,0,0,15,4
15/02/2011,39.79813333,6,15.79813333,0,0,10,8
16/02/2011,40.06417778,0,21.06417778,0,0,8,11
17/02/2011,43.16511111,0,13.16511111,0,0,23,7
18/02/2011,24.53208889,0,12.53208889,0,0,6,6
19/02/2011,0,0,0,0,0,0,0
20/02/2011,0,0,0,0,0,0,0
21/02/2011,21.89906667,0,7.899066667,0,0,7,7
22/02/2011,27.53208889,0,10.53208889,0,0,7,10
23/02/2011,6,0,1,0,0,5,0
24/02/2011,17,0,4,1,0,11,1
25/02/2011,21,2,2,0,0,7,10
26/02/2011,24,0,0,0,0,15,9
27/02/2011,6,0,0,0,0,0,6
28/02/2011,20.63302222,0,2.633022222,0,0,18,0
1/03/2011,50.43115556,0,18.43115556,0,0,23,9
2/03/2011,30.37653846,2,13.37653846,0,0,12,3
3/03/2011,36.80246154,6,14.80246154,0,0,11,5
4/03/2011,45.57411502,6,29.57411502,0,0,10,0
5/03/2011,0,0,0,0,0,0,0
6/03/2011,0,0,0,0,0,0,0
7/03/2011,24.42592308,0,17.42592308,0,0,7,0
8/03/2011,26.69196752,2,10.69196752,0,0,13,1
9/03/2011,30.75307692,3,14.75307692,0,0,10,3
10/03/2011,22.47530769,2,2.475307692,0,0,10,8
11/03/2011,18,1,1,0,0,16,0
12/03/2011,9.376538462,1,7.376538462,0,0,0,1
13/03/2011,3,0,1,0,0,0,2
